name,sex,age,Passenger_Class,fare,Sibling_Spouses,Parents_Children,embarked,survived
"Allen, Miss. Elisabeth Walton",Female,29.0,1,211.3375,0,0,S,1
"Allison, Master. Hudson Trevor",Male,0.9167,1,151.55,1,2,S,1
"Allison, Miss. Helen Loraine",Female,2.0,1,151.55,1,2,S,0
"Allison, Mr. Hudson Joshua Creighton",Male,30.0,1,151.55,1,2,S,0
"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",Female,25.0,1,151.55,1,2,S,0
"Anderson, Mr. Harry",Male,48.0,1,26.55,0,0,S,1
"Andrews, Miss. Kornelia Theodosia",Female,63.0,1,77.9583,1,0,S,1
"Andrews, Mr. Thomas Jr",Male,39.0,1,0.0,0,0,S,0
"Appleton, Mrs. Edward Dale (Charlotte Lamson)",Female,53.0,1,51.4792,2,0,S,1
"Artagaveytia, Mr. Ramon",Male,71.0,1,49.5042,0,0,C,0
"Astor, Col. John Jacob",Male,47.0,1,227.525,1,0,C,0
"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",Female,18.0,1,227.525,1,0,C,1
"Aubart, Mme. Leontine Pauline",Female,24.0,1,69.3,0,0,C,1
"Barber, Miss. Ellen ""Nellie""",Female,26.0,1,78.85,0,0,S,1
"Barkworth, Mr. Algernon Henry Wilson",Male,80.0,1,30.0,0,0,S,1
"Baumann, Mr. John D",Male,28.0,1,25.925,0,0,S,0
"Baxter, Mr. Quigg Edmond",Male,24.0,1,247.5208,0,1,C,0
"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",Female,50.0,1,247.5208,0,1,C,1
"Bazzani, Miss. Albina",Female,32.0,1,76.2917,0,0,C,1
"Beattie, Mr. Thomson",Male,36.0,1,75.2417,0,0,C,0
"Beckwith, Mr. Richard Leonard",Male,37.0,1,52.5542,1,1,S,1
"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",Female,47.0,1,52.5542,1,1,S,1
"Behr, Mr. Karl Howell",Male,26.0,1,30.0,0,0,C,1
"Bidois, Miss. Rosalie",Female,42.0,1,227.525,0,0,C,1
"Bird, Miss. Ellen",Female,29.0,1,221.7792,0,0,S,1
"Birnbaum, Mr. Jakob",Male,25.0,1,26.0,0,0,C,0
"Bishop, Mr. Dickinson H",Male,25.0,1,91.0792,1,0,C,1
"Bishop, Mrs. Dickinson H (Helen Walton)",Female,19.0,1,91.0792,1,0,C,1
"Bissette, Miss. Amelia",Female,35.0,1,135.6333,0,0,S,1
